MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
09/01/2025 01:00:00 - 09/01/2025 02:00:00,BZN|DK2,Without sequence,100,,
09/01/2025 02:00:00 - 09/01/2025 03:00:00,BZN|DK2,Without sequence,98.77,,
09/01/2025 03:00:00 - 09/01/2025 04:00:00,BZN|DK2,Without sequence,95.21,,
09/01/2025 04:00:00 - 09/01/2025 05:00:00,BZN|DK2,Without sequence,98.28,,
09/01/2025 05:00:00 - 09/01/2025 06:00:00,BZN|DK2,Without sequence,102.65,,
09/01/2025 06:00:00 - 09/01/2025 07:00:00,BZN|DK2,Without sequence,133.54,,
09/01/2025 07:00:00 - 09/01/2025 08:00:00,BZN|DK2,Without sequence,148.81,,
09/01/2025 08:00:00 - 09/01/2025 09:00:00,BZN|DK2,Without sequence,164.88,,
09/01/2025 09:00:00 - 09/01/2025 10:00:00,BZN|DK2,Without sequence,156.15,,
09/01/2025 10:00:00 - 09/01/2025 11:00:00,BZN|DK2,Without sequence,147.65,,
09/01/2025 11:00:00 - 09/01/2025 12:00:00,BZN|DK2,Without sequence,140.21,,
09/01/2025 12:00:00 - 09/01/2025 13:00:00,BZN|DK2,Without sequence,128.19,,
09/01/2025 13:00:00 - 09/01/2025 14:00:00,BZN|DK2,Without sequence,121.15,,
09/01/2025 14:00:00 - 09/01/2025 15:00:00,BZN|DK2,Without sequence,123.96,,
09/01/2025 15:00:00 - 09/01/2025 16:00:00,BZN|DK2,Without sequence,129.35,,
09/01/2025 16:00:00 - 09/01/2025 17:00:00,BZN|DK2,Without sequence,130.85,,
09/01/2025 17:00:00 - 09/01/2025 18:00:00,BZN|DK2,Without sequence,133.99,,
09/01/2025 18:00:00 - 09/01/2025 19:00:00,BZN|DK2,Without sequence,137.79,,
09/01/2025 19:00:00 - 09/01/2025 20:00:00,BZN|DK2,Without sequence,125.44,,
09/01/2025 20:00:00 - 09/01/2025 21:00:00,BZN|DK2,Without sequence,119.23,,
09/01/2025 21:00:00 - 09/01/2025 22:00:00,BZN|DK2,Without sequence,104.99,,
09/01/2025 22:00:00 - 09/01/2025 23:00:00,BZN|DK2,Without sequence,101.1,,
09/01/2025 23:00:00 - 10/01/2025 00:00:00,BZN|DK2,Without sequence,88.19,,
10/01/2025 00:00:00 - 10/01/2025 01:00:00,BZN|DK2,Without sequence,84.79,,
10/01/2025 01:00:00 - 10/01/2025 02:00:00,BZN|DK2,Without sequence,80.23,,
10/01/2025 02:00:00 - 10/01/2025 03:00:00,BZN|DK2,Without sequence,71.29,,
10/01/2025 03:00:00 - 10/01/2025 04:00:00,BZN|DK2,Without sequence,69.05,,
10/01/2025 04:00:00 - 10/01/2025 05:00:00,BZN|DK2,Without sequence,69.89,,
10/01/2025 05:00:00 - 10/01/2025 06:00:00,BZN|DK2,Without sequence,83.9,,
10/01/2025 06:00:00 - 10/01/2025 07:00:00,BZN|DK2,Without sequence,99.09,,
10/01/2025 07:00:00 - 10/01/2025 08:00:00,BZN|DK2,Without sequence,123.92,,
10/01/2025 08:00:00 - 10/01/2025 09:00:00,BZN|DK2,Without sequence,139.47,,
10/01/2025 09:00:00 - 10/01/2025 10:00:00,BZN|DK2,Without sequence,136.92,,
10/01/2025 10:00:00 - 10/01/2025 11:00:00,BZN|DK2,Without sequence,123.57,,
10/01/2025 11:00:00 - 10/01/2025 12:00:00,BZN|DK2,Without sequence,113.59,,
10/01/2025 12:00:00 - 10/01/2025 13:00:00,BZN|DK2,Without sequence,107.76,,
10/01/2025 13:00:00 - 10/01/2025 14:00:00,BZN|DK2,Without sequence,104.69,,
10/01/2025 14:00:00 - 10/01/2025 15:00:00,BZN|DK2,Without sequence,110.02,,
10/01/2025 15:00:00 - 10/01/2025 16:00:00,BZN|DK2,Without sequence,128.69,,
10/01/2025 16:00:00 - 10/01/2025 17:00:00,BZN|DK2,Without sequence,134.87,,
10/01/2025 17:00:00 - 10/01/2025 18:00:00,BZN|DK2,Without sequence,142.56,,
10/01/2025 18:00:00 - 10/01/2025 19:00:00,BZN|DK2,Without sequence,144.11,,
10/01/2025 19:00:00 - 10/01/2025 20:00:00,BZN|DK2,Without sequence,141.05,,
10/01/2025 20:00:00 - 10/01/2025 21:00:00,BZN|DK2,Without sequence,134.82,,
10/01/2025 21:00:00 - 10/01/2025 22:00:00,BZN|DK2,Without sequence,94.42,,
10/01/2025 22:00:00 - 10/01/2025 23:00:00,BZN|DK2,Without sequence,75.18,,
10/01/2025 23:00:00 - 11/01/2025 00:00:00,BZN|DK2,Without sequence,54,,
11/01/2025 00:00:00 - 11/01/2025 01:00:00,BZN|DK2,Without sequence,61.05,,
11/01/2025 01:00:00 - 11/01/2025 02:00:00,BZN|DK2,Without sequence,48.21,,
11/01/2025 02:00:00 - 11/01/2025 03:00:00,BZN|DK2,Without sequence,44.3,,
11/01/2025 03:00:00 - 11/01/2025 04:00:00,BZN|DK2,Without sequence,39.37,,
11/01/2025 04:00:00 - 11/01/2025 05:00:00,BZN|DK2,Without sequence,36.45,,
11/01/2025 05:00:00 - 11/01/2025 06:00:00,BZN|DK2,Without sequence,29.65,,
11/01/2025 06:00:00 - 11/01/2025 07:00:00,BZN|DK2,Without sequence,41.04,,
11/01/2025 07:00:00 - 11/01/2025 08:00:00,BZN|DK2,Without sequence,53.62,,
11/01/2025 08:00:00 - 11/01/2025 09:00:00,BZN|DK2,Without sequence,67.47,,
11/01/2025 09:00:00 - 11/01/2025 10:00:00,BZN|DK2,Without sequence,64.36,,
11/01/2025 10:00:00 - 11/01/2025 11:00:00,BZN|DK2,Without sequence,58.18,,
11/01/2025 11:00:00 - 11/01/2025 12:00:00,BZN|DK2,Without sequence,55.75,,
11/01/2025 12:00:00 - 11/01/2025 13:00:00,BZN|DK2,Without sequence,56.08,,
11/01/2025 13:00:00 - 11/01/2025 14:00:00,BZN|DK2,Without sequence,45.22,,
11/01/2025 14:00:00 - 11/01/2025 15:00:00,BZN|DK2,Without sequence,49.62,,
11/01/2025 15:00:00 - 11/01/2025 16:00:00,BZN|DK2,Without sequence,69.38,,
11/01/2025 16:00:00 - 11/01/2025 17:00:00,BZN|DK2,Without sequence,88.13,,
11/01/2025 17:00:00 - 11/01/2025 18:00:00,BZN|DK2,Without sequence,119.8,,
11/01/2025 18:00:00 - 11/01/2025 19:00:00,BZN|DK2,Without sequence,122.34,,
11/01/2025 19:00:00 - 11/01/2025 20:00:00,BZN|DK2,Without sequence,100.12,,
11/01/2025 20:00:00 - 11/01/2025 21:00:00,BZN|DK2,Without sequence,82.71,,
11/01/2025 21:00:00 - 11/01/2025 22:00:00,BZN|DK2,Without sequence,73,,
11/01/2025 22:00:00 - 11/01/2025 23:00:00,BZN|DK2,Without sequence,69.28,,
11/01/2025 23:00:00 - 12/01/2025 00:00:00,BZN|DK2,Without sequence,67,,
12/01/2025 00:00:00 - 12/01/2025 01:00:00,BZN|DK2,Without sequence,41.02,,
12/01/2025 01:00:00 - 12/01/2025 02:00:00,BZN|DK2,Without sequence,40.39,,
12/01/2025 02:00:00 - 12/01/2025 03:00:00,BZN|DK2,Without sequence,42.92,,
12/01/2025 03:00:00 - 12/01/2025 04:00:00,BZN|DK2,Without sequence,39.37,,
12/01/2025 04:00:00 - 12/01/2025 05:00:00,BZN|DK2,Without sequence,38.41,,
12/01/2025 05:00:00 - 12/01/2025 06:00:00,BZN|DK2,Without sequence,48.09,,
12/01/2025 06:00:00 - 12/01/2025 07:00:00,BZN|DK2,Without sequence,65.77,,
12/01/2025 07:00:00 - 12/01/2025 08:00:00,BZN|DK2,Without sequence,101.75,,
12/01/2025 08:00:00 - 12/01/2025 09:00:00,BZN|DK2,Without sequence,114.67,,
12/01/2025 09:00:00 - 12/01/2025 10:00:00,BZN|DK2,Without sequence,120.07,,
12/01/2025 10:00:00 - 12/01/2025 11:00:00,BZN|DK2,Without sequence,117.77,,
12/01/2025 11:00:00 - 12/01/2025 12:00:00,BZN|DK2,Without sequence,105.61,,
12/01/2025 12:00:00 - 12/01/2025 13:00:00,BZN|DK2,Without sequence,102.99,,
12/01/2025 13:00:00 - 12/01/2025 14:00:00,BZN|DK2,Without sequence,99.61,,
12/01/2025 14:00:00 - 12/01/2025 15:00:00,BZN|DK2,Without sequence,104.74,,
12/01/2025 15:00:00 - 12/01/2025 16:00:00,BZN|DK2,Without sequence,118.7,,
12/01/2025 16:00:00 - 12/01/2025 17:00:00,BZN|DK2,Without sequence,132.92,,
12/01/2025 17:00:00 - 12/01/2025 18:00:00,BZN|DK2,Without sequence,141,,
12/01/2025 18:00:00 - 12/01/2025 19:00:00,BZN|DK2,Without sequence,146.66,,
12/01/2025 19:00:00 - 12/01/2025 20:00:00,BZN|DK2,Without sequence,143.66,,
12/01/2025 20:00:00 - 12/01/2025 21:00:00,BZN|DK2,Without sequence,134.86,,
